Invoice ID,CustomerID,BillToCustomerID,SalespersonPersonID,InvoiceDate,Customer Purchase Order Number
102,92,1,13,2013-01-02 00:00:00.000,"12134"
127,49,1,13,2013-01-02 00:00:00.000,"19890"
140,92,1,13,2013-01-03 00:00:00.000,"12134"
153,49,1,13,2013-01-03 00:00:00.000,"19890"
197,14,1,13,2013-01-03 00:00:00.000,"19357"
280,75,1,13,2013-01-05 00:00:00.000,"19601"
298,143,1,13,2013-01-05 00:00:00.000,"14771"
304,109,1,13,2013-01-05 00:00:00.000,"17099"
306,42,1,13,2013-01-05 00:00:00.000,"10207"
316,44,1,13,2013-01-07 00:00:00.000,"17679"
337,143,1,13,2013-01-07 00:00:00.000,"14771"
423,112,1,13,2013-01-08 00:00:00.000,"18406"
430,167,1,13,2013-01-08 00:00:00.000,"14426"
460,106,1,13,2013-01-09 00:00:00.000,"12191"
466,147,1,13,2013-01-09 00:00:00.000,"10119"
511,8,1,13,2013-01-10 00:00:00.000,"19664"
516,61,1,13,2013-01-10 00:00:00.000,"19292"
519,71,1,13,2013-01-10 00:00:00.000,"13110"
529,122,1,13,2013-01-10 00:00:00.000,"14812"
531,144,1,13,2013-01-10 00:00:00.000,"10358"
601,114,1,13,2013-01-11 00:00:00.000,"15426"
602,116,1,13,2013-01-11 00:00:00.000,"19180"
606,138,1,13,2013-01-11 00:00:00.000,"17231"
609,155,1,13,2013-01-11 00:00:00.000,"16072"
690,11,1,13,2013-01-14 00:00:00.000,"15290"
767,49,1,13,2013-01-15 00:00:00.000,"16891"
788,197,1,13,2013-01-15 00:00:00.000,"17999"
856,16,1,13,2013-01-16 00:00:00.000,"16330"
858,35,1,13,2013-01-16 00:00:00.000,"10063"
859,39,1,13,2013-01-16 00:00:00.000,"15465"
860,69,1,13,2013-01-16 00:00:00.000,"12809"
954,122,1,13,2013-01-18 00:00:00.000,"17164"
958,111,1,13,2013-01-18 00:00:00.000,"18250"
1032,5,1,13,2013-01-19 00:00:00.000,"15368"
1055,121,1,13,2013-01-21 00:00:00.000,"17066"
1063,62,1,13,2013-01-21 00:00:00.000,"12892"
1066,45,1,13,2013-01-21 00:00:00.000,"13121"
1098,59,1,13,2013-01-22 00:00:00.000,"17186"
1156,30,1,13,2013-01-23 00:00:00.000,"19313"
1172,161,1,13,2013-01-23 00:00:00.000,"10723"
1175,76,1,13,2013-01-23 00:00:00.000,"10837"
1280,63,1,13,2013-01-25 00:00:00.000,"17165"
1301,170,1,13,2013-01-25 00:00:00.000,"14512"
1364,136,1,13,2013-01-28 00:00:00.000,"11532"
1394,76,1,13,2013-01-28 00:00:00.000,"10860"
1400,110,1,13,2013-01-28 00:00:00.000,"11956"
1418,111,1,13,2013-01-29 00:00:00.000,"18250"
1429,25,1,13,2013-01-29 00:00:00.000,"13272"
1454,43,1,13,2013-01-29 00:00:00.000,"10108"
1455,106,1,13,2013-01-29 00:00:00.000,"11530"
1482,129,1,13,2013-01-29 00:00:00.000,"11452"
1489,38,1,13,2013-01-29 00:00:00.000,"18552"
1508,181,1,13,2013-01-30 00:00:00.000,"11877"
1512,76,1,13,2013-01-30 00:00:00.000,"14253"
1531,89,1,13,2013-01-30 00:00:00.000,"19287"
1544,7,1,13,2013-01-30 00:00:00.000,"12911"
1629,99,1,13,2013-01-31 00:00:00.000,"18333"
1682,89,1,13,2013-02-01 00:00:00.000,"15736"
1713,40,1,13,2013-02-02 00:00:00.000,"16941"
1715,166,1,13,2013-02-02 00:00:00.000,"16236"
1730,164,1,13,2013-02-02 00:00:00.000,"17066"
