ProductKey,Product Code,Product Name,ProductSubcategoryKey,Manufacturer,Brand,Color,Weight,Weight Unit Measure,Unit Cost,Unit Price,Available Date
1707,"0702001","MGS Dal of Honor Airborne M150",39,"Tailspin Toys","Tailspin Toys","Silver",,"",32.25,70.13,2007-04-05 00:00:00.000
1708,"0702002","MGS Collector's M160",39,"Tailspin Toys","Tailspin Toys","Black",,"",32.25,70.13,2006-05-08 00:00:00.000
1709,"0702003","MGS Gears of War M170",39,"Tailspin Toys","Tailspin Toys","Blue",,"",32.25,70.13,2005-05-09 00:00:00.000
1710,"0702004","MGS Age of Empires III: The Asian Dynasties M180",39,"Tailspin Toys","Tailspin Toys","Silver",,"",32.25,70.13,2004-09-08 00:00:00.000
1711,"0702005","MGS Age of Empires III: The Asian Dynasties M190",39,"Tailspin Toys","Tailspin Toys","Black",,"",32.25,70.13,2004-09-08 00:00:00.000
1712,"0702006","MGS Flight Simulator X Acceleration Expansion Pack M200",39,"Tailspin Toys","Tailspin Toys","Silver",,"",32.25,70.13,2004-05-04 00:00:00.000
1713,"0702007","MGS Zoo Tycoon 2: Extinct Animals M210",39,"Tailspin Toys","Tailspin Toys","Silver",,"",32.25,70.13,2005-01-02 00:00:00.000
1714,"0702008","MGS Halo 2 for Windows Vista M220",39,"Tailspin Toys","Tailspin Toys","White",,"",32.25,70.13,2005-01-03 00:00:00.000
1715,"0702009","MGS Shadow-run M230",39,"Tailspin Toys","Tailspin Toys","White",,"",32.25,70.13,2005-01-04 00:00:00.000
1716,"0702010","MGS Age of Empires III: The War Chiefs M240",39,"Tailspin Toys","Tailspin Toys","Black",,"",32.25,70.13,2006-05-08 00:00:00.000
1717,"0702011","MGS Flight Simulator X M250",39,"Tailspin Toys","Tailspin Toys","Pink",,"",32.25,70.13,2006-05-08 00:00:00.000
1718,"0702012","MGS Zoo Tycoon 2: Zookeeper Collection M260",39,"Tailspin Toys","Tailspin Toys","Blue",,"",32.25,70.13,2006-05-08 00:00:00.000
1719,"0702013","MGS Zoo Tycoon 2: Marine Mania Expansion Pack M270",39,"Tailspin Toys","Tailspin Toys","Black",,"",32.25,70.13,2006-05-09 00:00:00.000
1720,"0702014","MGS Zoo Tycoon 2: African Adventure M280",39,"Tailspin Toys","Tailspin Toys","Black",,"",32.25,70.13,2006-05-10 00:00:00.000
1721,"0702015","MGS Rise of Nations: Rise of Legends M290",39,"Tailspin Toys","Tailspin Toys","Black",,"",32.25,70.13,2006-05-11 00:00:00.000
1722,"0702016","MGS Zoo Tycoon 2: End range Species Expansion Pack E105",39,"Tailspin Toys","Tailspin Toys","Silver",,"",28.55,56,2006-05-12 00:00:00.000
1723,"0702017","MGS Age of Empires III: The Asian Dynasties E106",39,"Tailspin Toys","Tailspin Toys","Pink",,"",28.55,56,2007-04-05 00:00:00.000
1724,"0702018","MGS Fable: The Lost Chapters E107",39,"Tailspin Toys","Tailspin Toys","Silver",,"",28.55,56,2007-04-05 00:00:00.000
1725,"0702019","MGS Dungeon Siege II E105",39,"Tailspin Toys","Tailspin Toys","Silver",,"",28.55,56,2009-01-02 00:00:00.000
1726,"0702020","MGS Zoo Tycoon 2 E108",39,"Tailspin Toys","Tailspin Toys","Silver",,"",28.55,56,2009-01-03 00:00:00.000
1727,"0702021","MGS Rise of Nations: Gold Edition M300",39,"Tailspin Toys","Tailspin Toys","Pink",,"",25.75,56,2005-01-04 00:00:00.000
1728,"0702022","MGS Age of Mythology: Gold Edition M310",39,"Tailspin Toys","Tailspin Toys","Blue",,"",36.7,79.8,2005-01-04 00:00:00.000
1729,"0702023","MGS Rise of Nations: Thrones and Patriots M320",39,"Tailspin Toys","Tailspin Toys","Blue",,"",35.72,77.68,2009-01-02 00:00:00.000
1730,"0702024","MGS Dungeon Siege: Legends of Aranna M330",39,"Tailspin Toys","Tailspin Toys","Blue",,"",35.72,77.68,2006-05-11 00:00:00.000
1731,"0702025","MGS King& Myths: The Age Collection M340",39,"Tailspin Toys","Tailspin Toys","Black",,"",33.32,72.45,2006-05-11 00:00:00.000
1732,"0702026","MGS Age of Mythology: The Titans Expansion M350",39,"Tailspin Toys","Tailspin Toys","Black",,"",33.32,72.45,2006-05-11 00:00:00.000
1733,"0702027","MGS Halo: Combat Evolved E109",39,"Tailspin Toys","Tailspin Toys","Silver",,"",11.62,22.788,2005-01-02 00:00:00.000
1734,"0702028","MGS Zoo Tycoon Complete Collection E110",39,"Tailspin Toys","Tailspin Toys","Blue",,"",14.28,28,2005-01-03 00:00:00.000
1735,"0702029","MGS Flight Simulator 2004: A Century of Flight E111",39,"Tailspin Toys","Tailspin Toys","Black",,"",14.28,28,2005-01-04 00:00:00.000
1736,"0702030","MGS Rise of Nations E112",39,"Tailspin Toys","Tailspin Toys","White",,"",14.28,28,2007-04-05 00:00:00.000
1737,"0702031","MGS Freelancer E113",39,"Tailspin Toys","Tailspin Toys","Silver",,"",14.28,28,2006-05-11 00:00:00.000
1738,"0702032","MGS Impossible Creatures E114",39,"Tailspin Toys","Tailspin Toys","Blue",,"",14.28,28,2009-01-02 00:00:00.000
1739,"0702033","MGS RalliSport Challenge E115",39,"Tailspin Toys","Tailspin Toys","Silver",,"",14.28,28,2009-01-02 00:00:00.000
1740,"0702034","MGS MechCollection E116",39,"Tailspin Toys","Tailspin Toys","Silver",,"",14.28,28,2005-05-07 00:00:00.000
1741,"0702035","MGS MechWarrior 4: Mercenaries E117",39,"Tailspin Toys","Tailspin Toys","Blue",,"",14.28,28,2004-05-04 00:00:00.000
1742,"0702036","MGS Age of Mythology E118",39,"Tailspin Toys","Tailspin Toys","Pink",,"",14.28,28,2005-01-02 00:00:00.000
1743,"0702037","MGS Combat Flight Simulator 3 E119",39,"Tailspin Toys","Tailspin Toys","Blue",,"",14.28,28,2005-01-03 00:00:00.000
1744,"0702038","MGS Zoo Tycoon Marine Mania E120",39,"Tailspin Toys","Tailspin Toys","Black",,"",14.28,28,2005-01-04 00:00:00.000
1745,"0702039","MGS MechWarrior 4 Mach Packs X100",39,"Tailspin Toys","Tailspin Toys","Blue",,"",36.11,109,2006-05-08 00:00:00.000
1746,"0702040","MGS Zoo Tycoon Dinosaur Digs X200",39,"Tailspin Toys","Tailspin Toys","Black",,"",36.11,109,2006-05-08 00:00:00.000
