Date,DateKey,Calendar Year Number,Calendar Year,Calendar Year Quarter Number,Calendar Year Quarter,Calendar Year Month Number,Calendar Year Month,Month Number,Month,Day of Week Number,Day of Week,Fiscal Year Number,Fiscal Year,Fiscal Quarter Number,Fiscal Quarter,Fiscal Year Quarter Number,Fiscal Year Quarter,Fiscal Month Number,Fiscal Month,Working Day,Is Holiday,Holiday Name,Europe Season,North America Season,Asia Season
2005-07-01 00:00:00.000,20050701,2005,"CY 2005",20053,"Q3-2005",200507,"July 2005",7,"July",6,"Friday",2006,"FY 2006",1,"Q1",20061,"Q1-2006",1,"July","WorkDay",0,"None","Back to School","Back to School","None"
2005-07-04 00:00:00.000,20050704,2005,"CY 2005",20053,"Q3-2005",200507,"July 2005",7,"July",2,"Monday",2006,"FY 2006",1,"Q1",20061,"Q1-2006",1,"July","WorkDay",0,"None","Back to School","Back to School","None"
2005-07-05 00:00:00.000,20050705,2005,"CY 2005",20053,"Q3-2005",200507,"July 2005",7,"July",3,"Tuesday",2006,"FY 2006",1,"Q1",20061,"Q1-2006",1,"July","WorkDay",0,"None","Back to School","Back to School","None"
2005-07-06 00:00:00.000,20050706,2005,"CY 2005",20053,"Q3-2005",200507,"July 2005",7,"July",4,"Wednesday",2006,"FY 2006",1,"Q1",20061,"Q1-2006",1,"July","WorkDay",0,"None","Back to School","Back to School","None"
2005-07-07 00:00:00.000,20050707,2005,"CY 2005",20053,"Q3-2005",200507,"July 2005",7,"July",5,"Thursday",2006,"FY 2006",1,"Q1",20061,"Q1-2006",1,"July","WorkDay",0,"None","Back to School","Back to School","None"
2005-07-08 00:00:00.000,20050708,2005,"CY 2005",20053,"Q3-2005",200507,"July 2005",7,"July",6,"Friday",2006,"FY 2006",1,"Q1",20061,"Q1-2006",1,"July","WorkDay",0,"None","Back to School","Back to School","None"
2005-07-11 00:00:00.000,20050711,2005,"CY 2005",20053,"Q3-2005",200507,"July 2005",7,"July",2,"Monday",2006,"FY 2006",1,"Q1",20061,"Q1-2006",1,"July","WorkDay",0,"None","Back to School","Back to School","None"
2005-07-12 00:00:00.000,20050712,2005,"CY 2005",20053,"Q3-2005",200507,"July 2005",7,"July",3,"Tuesday",2006,"FY 2006",1,"Q1",20061,"Q1-2006",1,"July","WorkDay",0,"None","Back to School","Back to School","None"
2005-07-13 00:00:00.000,20050713,2005,"CY 2005",20053,"Q3-2005",200507,"July 2005",7,"July",4,"Wednesday",2006,"FY 2006",1,"Q1",20061,"Q1-2006",1,"July","WorkDay",0,"None","Back to School","Back to School","None"
2005-07-14 00:00:00.000,20050714,2005,"CY 2005",20053,"Q3-2005",200507,"July 2005",7,"July",5,"Thursday",2006,"FY 2006",1,"Q1",20061,"Q1-2006",1,"July","WorkDay",0,"None","Back to School","Back to School","None"
2005-07-15 00:00:00.000,20050715,2005,"CY 2005",20053,"Q3-2005",200507,"July 2005",7,"July",6,"Friday",2006,"FY 2006",1,"Q1",20061,"Q1-2006",1,"July","WorkDay",0,"None","Back to School","Back to School","None"
2005-07-18 00:00:00.000,20050718,2005,"CY 2005",20053,"Q3-2005",200507,"July 2005",7,"July",2,"Monday",2006,"FY 2006",1,"Q1",20061,"Q1-2006",1,"July","WorkDay",0,"None","Back to School","Back to School","None"
2005-07-19 00:00:00.000,20050719,2005,"CY 2005",20053,"Q3-2005",200507,"July 2005",7,"July",3,"Tuesday",2006,"FY 2006",1,"Q1",20061,"Q1-2006",1,"July","WorkDay",0,"None","Back to School","Back to School","None"
2005-07-20 00:00:00.000,20050720,2005,"CY 2005",20053,"Q3-2005",200507,"July 2005",7,"July",4,"Wednesday",2006,"FY 2006",1,"Q1",20061,"Q1-2006",1,"July","WorkDay",0,"None","Back to School","Back to School","None"
2005-07-21 00:00:00.000,20050721,2005,"CY 2005",20053,"Q3-2005",200507,"July 2005",7,"July",5,"Thursday",2006,"FY 2006",1,"Q1",20061,"Q1-2006",1,"July","WorkDay",0,"None","Back to School","Back to School","None"
2005-07-22 00:00:00.000,20050722,2005,"CY 2005",20053,"Q3-2005",200507,"July 2005",7,"July",6,"Friday",2006,"FY 2006",1,"Q1",20061,"Q1-2006",1,"July","WorkDay",0,"None","Back to School","Back to School","None"
2005-07-25 00:00:00.000,20050725,2005,"CY 2005",20053,"Q3-2005",200507,"July 2005",7,"July",2,"Monday",2006,"FY 2006",1,"Q1",20061,"Q1-2006",1,"July","WorkDay",0,"None","Back to School","Back to School","None"
2005-07-26 00:00:00.000,20050726,2005,"CY 2005",20053,"Q3-2005",200507,"July 2005",7,"July",3,"Tuesday",2006,"FY 2006",1,"Q1",20061,"Q1-2006",1,"July","WorkDay",0,"None","Back to School","Back to School","None"
2005-07-27 00:00:00.000,20050727,2005,"CY 2005",20053,"Q3-2005",200507,"July 2005",7,"July",4,"Wednesday",2006,"FY 2006",1,"Q1",20061,"Q1-2006",1,"July","WorkDay",0,"None","Back to School","Back to School","None"
2005-07-28 00:00:00.000,20050728,2005,"CY 2005",20053,"Q3-2005",200507,"July 2005",7,"July",5,"Thursday",2006,"FY 2006",1,"Q1",20061,"Q1-2006",1,"July","WorkDay",0,"None","Back to School","Back to School","None"
2005-07-29 00:00:00.000,20050729,2005,"CY 2005",20053,"Q3-2005",200507,"July 2005",7,"July",6,"Friday",2006,"FY 2006",1,"Q1",20061,"Q1-2006",1,"July","WorkDay",0,"None","Back to School","Back to School","None"
2006-07-03 00:00:00.000,20060703,2006,"CY 2006",20063,"Q3-2006",200607,"July 2006",7,"July",2,"Monday",2007,"FY 2007",1,"Q1",20071,"Q1-2007",1,"July","WorkDay",0,"None","Back to School","Back to School","None"
2006-07-04 00:00:00.000,20060704,2006,"CY 2006",20063,"Q3-2006",200607,"July 2006",7,"July",3,"Tuesday",2007,"FY 2007",1,"Q1",20071,"Q1-2007",1,"July","WorkDay",0,"None","Back to School","Back to School","None"
2006-07-05 00:00:00.000,20060705,2006,"CY 2006",20063,"Q3-2006",200607,"July 2006",7,"July",4,"Wednesday",2007,"FY 2007",1,"Q1",20071,"Q1-2007",1,"July","WorkDay",0,"None","Back to School","Back to School","None"
2006-07-06 00:00:00.000,20060706,2006,"CY 2006",20063,"Q3-2006",200607,"July 2006",7,"July",5,"Thursday",2007,"FY 2007",1,"Q1",20071,"Q1-2007",1,"July","WorkDay",0,"None","Back to School","Back to School","None"
2006-07-07 00:00:00.000,20060707,2006,"CY 2006",20063,"Q3-2006",200607,"July 2006",7,"July",6,"Friday",2007,"FY 2007",1,"Q1",20071,"Q1-2007",1,"July","WorkDay",0,"None","Back to School","Back to School","None"
2006-07-10 00:00:00.000,20060710,2006,"CY 2006",20063,"Q3-2006",200607,"July 2006",7,"July",2,"Monday",2007,"FY 2007",1,"Q1",20071,"Q1-2007",1,"July","WorkDay",0,"None","Back to School","Back to School","None"
2006-07-11 00:00:00.000,20060711,2006,"CY 2006",20063,"Q3-2006",200607,"July 2006",7,"July",3,"Tuesday",2007,"FY 2007",1,"Q1",20071,"Q1-2007",1,"July","WorkDay",0,"None","Back to School","Back to School","None"
2006-07-12 00:00:00.000,20060712,2006,"CY 2006",20063,"Q3-2006",200607,"July 2006",7,"July",4,"Wednesday",2007,"FY 2007",1,"Q1",20071,"Q1-2007",1,"July","WorkDay",0,"None","Back to School","Back to School","None"
2006-07-13 00:00:00.000,20060713,2006,"CY 2006",20063,"Q3-2006",200607,"July 2006",7,"July",5,"Thursday",2007,"FY 2007",1,"Q1",20071,"Q1-2007",1,"July","WorkDay",0,"None","Back to School","Back to School","None"
2006-07-14 00:00:00.000,20060714,2006,"CY 2006",20063,"Q3-2006",200607,"July 2006",7,"July",6,"Friday",2007,"FY 2007",1,"Q1",20071,"Q1-2007",1,"July","WorkDay",0,"None","Back to School","Back to School","None"
2006-07-17 00:00:00.000,20060717,2006,"CY 2006",20063,"Q3-2006",200607,"July 2006",7,"July",2,"Monday",2007,"FY 2007",1,"Q1",20071,"Q1-2007",1,"July","WorkDay",0,"None","Back to School","Back to School","None"
2006-07-18 00:00:00.000,20060718,2006,"CY 2006",20063,"Q3-2006",200607,"July 2006",7,"July",3,"Tuesday",2007,"FY 2007",1,"Q1",20071,"Q1-2007",1,"July","WorkDay",0,"None","Back to School","Back to School","None"
2006-07-19 00:00:00.000,20060719,2006,"CY 2006",20063,"Q3-2006",200607,"July 2006",7,"July",4,"Wednesday",2007,"FY 2007",1,"Q1",20071,"Q1-2007",1,"July","WorkDay",0,"None","Back to School","Back to School","None"
2006-07-20 00:00:00.000,20060720,2006,"CY 2006",20063,"Q3-2006",200607,"July 2006",7,"July",5,"Thursday",2007,"FY 2007",1,"Q1",20071,"Q1-2007",1,"July","WorkDay",0,"None","Back to School","Back to School","None"
2006-07-21 00:00:00.000,20060721,2006,"CY 2006",20063,"Q3-2006",200607,"July 2006",7,"July",6,"Friday",2007,"FY 2007",1,"Q1",20071,"Q1-2007",1,"July","WorkDay",0,"None","Back to School","Back to School","None"
2006-07-24 00:00:00.000,20060724,2006,"CY 2006",20063,"Q3-2006",200607,"July 2006",7,"July",2,"Monday",2007,"FY 2007",1,"Q1",20071,"Q1-2007",1,"July","WorkDay",0,"None","Back to School","Back to School","None"
2006-07-25 00:00:00.000,20060725,2006,"CY 2006",20063,"Q3-2006",200607,"July 2006",7,"July",3,"Tuesday",2007,"FY 2007",1,"Q1",20071,"Q1-2007",1,"July","WorkDay",0,"None","Back to School","Back to School","None"
2006-07-26 00:00:00.000,20060726,2006,"CY 2006",20063,"Q3-2006",200607,"July 2006",7,"July",4,"Wednesday",2007,"FY 2007",1,"Q1",20071,"Q1-2007",1,"July","WorkDay",0,"None","Back to School","Back to School","None"
2006-07-27 00:00:00.000,20060727,2006,"CY 2006",20063,"Q3-2006",200607,"July 2006",7,"July",5,"Thursday",2007,"FY 2007",1,"Q1",20071,"Q1-2007",1,"July","WorkDay",0,"None","Back to School","Back to School","None"
