GeographyKey|GeographyType|ContinentName|CityName|StateProvinceName|RegionCountryName|Geometry|ETLLoadID|LoadDate|UpdateDate
1|Continent|Asia||||0x000000000104A9A30000C6E40F6898DC6240B013824B284C25C0D26C0D07F1DC624078A168BAFF1F25C0D6A660EFADDC62403088FAA3D01925C008201693E6DB624070C63EF1C41325C088BC1E0361D96240603DD1D7541525C01663D94A97D862407852D113F73725C0AED0ABB820D96240A01D4367FA4425C08221AC7D69|1|2009-09-28 19:34:45.703|2009-09-28 19:34:45.703
2|Continent|Europe||||0x000000000104066A000000000000DB074D4000000040046C54400000000051114D40000000402D6C544000000000D9194D4000000040886C544000000000791D4D4000000040DA6C5440000000005A294D40000000C0946D5440000000001D3E4D4000000040986E544000000000FC4A4D40000000401C6F54400000000092|1|2009-09-28 19:34:45.703|2009-09-28 19:34:45.703
3|Continent|North America||||0x00000000010437FD00009CF9D31D6C6B54C050772E7EEE8D1D4052176414AC6D54C0D037302225BF1D40C1855EC8CB6D54C08083650F88C91D40F5C052A6796D54C0D07AB1BAA9EA1D4064D06DD2156D54C040A3B7750BF61D400476DC39756D54C0F067096FE3381E403FEC7CC14F6E54C090B91731C0771E403E2B97484A|1|2009-09-28 19:34:45.703|2009-09-28 19:34:45.703
269|Country/Region|Asia|||Armenia|0x000000000104170000007128E28B0E4547407370A4A56270434050B2596E4A364740F5C105FA929A4340D27CFAA09A4F474075D8A5FF629D4340F08A81645E314740778CA62CE3B34340311D1289A6434740D83A3F58AFC94340EED68037DE1A47405851DF5D7FCC43402A6CCE9C85CD4640DBCF80BD4FFC43408CA127EA31|1|2009-09-28 19:51:53.790|2009-09-28 19:51:53.790
270|Country/Region|Asia|||Australia|0x000000000104D0010000000000A0CF4F60400000000040AC27C0000000A06154604000000000808A27C05D72DA8214526040CCDE0758E06027C0000000A0CF4F604000000000D04927C0D0A77617834F6040A914E1336D3227C0000000A040486040000000001EAF26C000000080DE40604000000000909827C0000000A0CF|1|2009-09-28 19:51:53.790|2009-09-28 19:51:53.790
271|Country/Region|Asia|||Bhutan|0x000000000104120000008F28340B12055740A5CFC8469DDE3A402F2E9C0CC60557406DA27C3BF6583B403D5BDFD767EB5640AFBBCD811E7C3B40FD4F0FD5FFE9564074F93F11D7C33B40CD52C3D559EA5640B76C116E3FF23B402B995AA725D35640F98562B467153C407B2BEE8B6FC55640B7995179DFF73B40A8C0383115|1|2009-09-28 19:51:53.790|2009-09-28 19:51:53.790
272|Country/Region|Asia|||China|0x000000000104150200000000000070F95D400000000030094040D9309ACEBAF55D4040B5C493C21E40401766EA4349F55D4071A5D3F8C21F4040000000C07BED5D4000000000CC2140400000000070F95D4000000000300940400000000071805E40000000009C013E4000000040D5945E4000000000D4053E4000000000A1|1|2009-09-28 19:51:53.790|2009-09-28 19:51:53.790
273|Country/Region|Asia|||India|0x000000000104340100003F66881AC80C514034FB9F110FC437401F4A801344095140F1B40EC0469B3740C0A9682B38155140F187CEB4A6953740B17C2560962F5140B5980039BFD7374020D14035241A5140F1B40EC0469B374060DC10388C1B5140EE4C0D66466E3740936E9E9CD24D514025991839CDD73640B56BE7DB76|1|2009-09-28 19:51:53.790|2009-09-28 19:51:53.790
274|Country/Region|Asia|||Iran|0x000000000104750000000000004077A44B40000000C0748E3A400000004024254C4000000080B5F33A40000000C0EFE04B4000000080B5F33A40000000C057E24B4000000000EDCA3A400000004077A44B40000000C0748E3A400000008011B34E40000000C029143940000000807DCE4E40000000001A333940000000C06D|1|2009-09-28 19:51:53.790|2009-09-28 19:51:53.790
275|Country/Region|Asia|||Japan|0x000000000104FC0000000C4DE093A1C9604051BDD378FE594140EE6B99DB7DED604011B20376965841402670A7DC04EE60405009D34B7E434140F518DBC61EE360406EEA1904A21F414045322FCD48E660408D7F61E9451241408510BFC410E26040EB6B78A4D1EF4040EFC519F2BDF8604067C0963961BA40403058AA1606|1|2009-09-28 19:51:53.790|2009-09-28 19:51:53.790
276|Country/Region|Asia|||Kyrgyzstan|0x000000000104380000007AB15D6D2FB6524080F1EA45844044402B794A9F25CF52403FB9DA377C3944405D2A97CB4BE55240C1837B6ACC5244403D680FDB07ED5240BE1B7A10CC254440B0ABEC2B761553409E59F21F882D444082BC217090375340A4FCB4C8E8814440172A880B43855340C418BDCF6C8544400957C556E1|1|2009-09-28 19:51:53.790|2009-09-28 19:51:53.790
277|Country/Region|Asia|||Pakistan|0x0000000001046B000000E6A57BEABC745340F8ECBE44F3BF414092CAA5735239534019634762B7CE4140301C0D48862353403B8DD0ACFBF34140EF5C3C189E0B53409A2DE89407E841408EDBE3F771FB5240FC3501D7130942409E16A806D4025340BDDE31012C1E42407ECD5FF4AFF952408168A363644F42402B4C0A9485|1|2009-09-28 19:51:53.790|2009-09-28 19:51:53.790
278|Country/Region|Asia|||Singapore||1|2009-09-28 19:51:53.790|2009-09-28 19:51:53.790
279|Country/Region|Asia|||South Korea||1|2009-09-28 19:51:53.790|2009-09-28 19:51:53.790
280|Country/Region|Asia|||Syria|0x000000000104220000003AACBEAC87D54140E5C8B5FB709B4040BA951EA7B7D24140E1ACB374F05740403CBA3FF047F74140A1CE237D285C40406098C9670C334240DF71F22590304040645A4BD84C6B42405E2E12152028404045024C0249804440CF98B22F6E354140088CBD6481B14440F9737F66D3D04140C7266D4BD9|1|2009-09-28 19:51:53.790|2009-09-28 19:51:53.790
