ResellerKey|GeographyKey|ResellerAlternateKey|Phone|BusinessType|ResellerName|NumberEmployees|OrderFrequency|OrderMonth|FirstOrderYear|LastOrderYear|ProductLine|AddressLine1|AddressLine2|AnnualSales|BankName|MinPaymentType|MinPaymentAmount|AnnualRevenue|YearOpened
1|637|AW00000001|245-555-0173|Value Added Reseller|A Bike Store|2|S|5|2011|2011|Road|2251 Elliot Avenue||300000.00|International Bank|||30000.00|1974
2|635|AW00000002|170-555-0127|Specialty Bike Shop|Progressive Sports|10|A|5|2012|2013|Mountain|3207 S Grady Way||800000.00|International Security|1||80000.00|1976
3|584|AW00000003|279-555-0130|Warehouse|Advanced Bike Components|40|Q|6|2011|2013|Road|12345 Sterling Avenue||1500000.00|Primary International|2||150000.00|1978
4|572|AW00000004|710-555-0173|Value Added Reseller|Modular Cycle Systems|5|S|4|2011|2013|Road|800 Interchange Blvd.|Suite 2501|300000.00|United Security|3|600.00|30000.00|1980
5|322|AW00000005|828-555-0186|Specialty Bike Shop|Metropolitan Sports Supply|13|A|6|2012|2013|Road|482505 Warm Springs Blvd.||800000.00|Primary Bank & Reserve|||80000.00|1982
6|303|AW00000006|244-555-0112|Warehouse|Aerobic Exercise Company|43|Q|6|2013|2013|Road|39933 Mission Oaks Blvd||1500000.00|Guardian Bank|1||150000.00|1984
7|599|AW00000007|192-555-0173|Value Added Reseller|Associated Bikes|8|S|4|2011|2012|Mountain|5420 West 22500 South||300000.00|Reserve Security|2||30000.00|1986
8|409|AW00000008|872-555-0171|Specialty Bike Shop|Exemplary Cycles|16|A|5|2013|2013|Touring|79945 Corporate Center Drive||800000.00|International Bank|3|600.00|80000.00|1988
9|568|AW00000009|488-555-0130|Warehouse|Tandem Bicycle Store|46|Q|5|2012|2013|Mountain|3333 Micro Drive||1500000.00|International Security|3|1000.00|150000.00|1990
10|44|AW00000010|150-555-0127|Value Added Reseller|Rural Cycle Emporium|11|S|6|2012|2013|Mountain|6388 Lake City Way||800000.00|Primary International|2||80000.00|1992
