ProductKey|ProductLabel|ProductName|ProductDescription|ProductSubcategoryKey|Manufacturer|BrandName|ClassID|ClassName|StyleID|StyleName|ColorID|ColorName|Size|SizeRange|SizeUnitMeasureID|Weight|WeightUnitMeasureID|UnitOfMeasureID|UnitOfMeasureName|StockTypeID|StockTypeName|UnitCost|UnitPrice|AvailableForSaleDate|StopSaleDate|Status|ImageURL|ProductURL
1|101001|Contoso 512MB MP3 Player E51 Silver|512MB USB driver plays MP3 and WMA|1|Contoso, Ltd|Contoso|1|Economy|1.0|Product0101001|7|Silver|2.2 x 1.8 x 4 | | |4.8|ounces|1|inches|1|High|6.62|12.99|2005-05-03 00:00:00.000||On||
2|101002|Contoso 512MB MP3 Player E51 Blue|512MB USB driver plays MP3 and WMA|1|Contoso, Ltd|Contoso|1|Economy|5.0|Product0101002|3|Blue|2.2 x 1.8 x 4 | | |4.1|ounces|1|inches|1|High|6.62|12.99|2005-05-03 00:00:00.000||On||
3|101003|Contoso 1G MP3 Player E100 White|1GB flash memory and USB driver plays MP3 and WMA|1|Contoso, Ltd|Contoso|1|Economy|1.0|Product0101003|8|White|2.2  x 2.2  x 4 | | |4.5|ounces|1|inches|2|Mid|7.4|14.52|2006-05-13 00:00:00.000||On||
4|101004|Contoso 2G MP3 Player E200 Silver|2GB flash memory, LCD display, plays MP3 and WMA|1|Contoso, Ltd|Contoso|1|Economy|1.0|Product0101004|7|Silver|2.2  x 2.2  x 4 | | |4.5|ounces|1|inches|2|Mid|11.0|21.57|2006-12-16 00:00:00.000||On||
5|101005|Contoso 2G MP3 Player E200 Red|2GB flash memory, LCD display, plays MP3 and WMA|1|Contoso, Ltd|Contoso|1|Economy|1.0|Product0101005|6|Red|3.7 x 0.6 x 2.2| | |2.4|ounces|1|inches|2|Mid|11.0|21.57|2006-12-17 00:00:00.000||On||
6|101006|Contoso 2G MP3 Player E200 Black|2GB flash memory, LCD display, plays MP3 and WMA|1|Contoso, Ltd|Contoso|1|Economy|2.0|Product0101006|2|Black|1.6 x 0.4 x 3.7| | |8.8|ounces|1|inches|2|Mid|11.0|21.57|2006-12-18 00:00:00.000||On||
7|101007|Contoso 2G MP3 Player E200 Blue|2GB flash memory, LCD display, plays MP3 and WMA|1|Contoso, Ltd|Contoso|1|Economy|1.0|Product0101007|3|Blue|2.2 x 1.5 x 0.6 | | |2.1|ounces|1|inches|2|Mid|11.0|21.57|2006-12-19 00:00:00.000||On||
8|101008|Contoso 4G MP3 Player E400 Silver|4GB flash memory and FM Radio, LCD Display with 7-Color Backlight, plays MP3 and WMA|1|Contoso, Ltd|Contoso|1|Economy|2.0|Product0101008|7|Silver|0.8 x 3.6 x 1.1| | |5.6|ounces|1|inches|2|Mid|30.58|59.99|2007-04-16 00:00:00.000||On||
9|101009|Contoso 4G MP3 Player E400 Black|4GB flash memory and FM Radio, LCD Display with 7-Color Backlight, plays MP3 and WMA|1|Contoso, Ltd|Contoso|1|Economy|1.0|Product0101009|2|Black|3.1 x 1.9 x 0.3| | |2.1|ounces|1|inches|2|Mid|30.58|59.99|2007-04-16 00:00:00.000||On||
10|101010|Contoso 4G MP3 Player E400 Green|4GB flash memory and FM Radio, LCD Display with 7-Color Backlight, plays MP3 and WMA|1|Contoso, Ltd|Contoso|1|Economy|1.0|Product0101010|14|Green|2.3 x 0.3 x 4| | |11.0|ounces|1|inches|2|Mid|30.58|59.99|2007-04-16 00:00:00.000||On||
