AccountKey|ParentAccountKey|AccountCodeAlternateKey|ParentAccountCodeAlternateKey|AccountDescription|AccountType|Operator|CustomMembers|ValueType|CustomMemberOptions
1||1||Balance Sheet||~||Currency|
2|1|10|1|Assets|Assets|+||Currency|
3|2|110|10|Current Assets|Assets|+||Currency|
4|3|1110|110|Cash|Assets|+||Currency|
5|3|1120|110|Receivables|Assets|+||Currency|
6|5|1130|1120|Trade Receivables|Assets|+||Currency|
7|5|1140|1120|Other Receivables|Assets|+||Currency|
8|3|1150|110|Allowance for Bad Debt|Assets|+||Currency|
9|3|1160|110|Inventory|Assets|+||Currency|
10|9|1162|1160|Raw Materials|Assets|+||Currency|
11|9|1164|1160|Work in Process|Assets|+||Currency|
12|9|1166|1160|Finished Goods|Assets|+||Currency|
13|3|1170|110|Deferred Taxes|Assets|+||Currency|
14|3|1180|110|Prepaid Expenses|Assets|+||Currency|
15|3|1185|110|Intercompany Receivables|Assets|+||Currency|
17|2|1200|10|Property, Plant, Equipment|Assets|+||Currency|
18|17|1210|1200|Land & Improvements|Assets|+||Currency|
19|17|1220|1200|Buildings & Improvements|Assets|+||Currency|
20|17|1230|1200|Machinery & Equipment|Assets|+||Currency|
21|17|1240|1200|Office Furniture & Equipment|Assets|+||Currency|
22|17|1250|1200|Leasehold Improvements|Assets|+||Currency|
23|17|1260|1200|Construction In Progress|Assets|+||Currency|
24|2|1300|10|Other Assets|Assets|+||Currency|
25|1|20|1|Liabilities and Owners Equity|Liabilities|-||Currency|
26|25|210|20|Liabilities|Liabilities|+||Currency|
27|26|2200|210|Current Liabilities|Liabilities|+||Currency|
28|27|2210|2200|Notes Payable|Liabilities|+||Currency|
29|27|2230|2200|Accounts Payable|Liabilities|+||Currency|
30|27|2300|2200|Accrued Expenses|Liabilities|+||Currency|
31|30|2310|2300|Salary & Other Comp|Liabilities|+||Currency|
32|30|2320|2300|Insurance|Liabilities|+||Currency|
33|30|2330|2300|Warranties|Liabilities|+||Currency|
34|27|2340|2200|Intercompany Payables|Liabilities|+||Currency|
35|27|2350|2200|Other Current Liabilities|Liabilities|+||Currency|
36|26|2400|210|Long Term Liabilities|Liabilities|+||Currency|
37|36|2410|2400|Long Term Obligations|Liabilities|+||Currency|
38|36|2420|2400|Pension Liability|Liabilities|+||Currency|
39|36|2430|2400|Other Retirement Benefits|Liabilities|+||Currency|
40|36|2440|2400|Other Long Term Liabilities|Liabilities|+||Currency|
41|25|300|20|Owners Equity|Liabilities|+||Currency|
42|41|3010|300|Partner Capital|Liabilities|+||Currency|
43|41|3020|300|Additional Paid In Capital|Liabilities|+||Currency|
44|41|3030|300|Retained Earnings|Liabilities|+||Currency|
